SignedAcoplanarity,Weight,Phi_PiPlus,Phi_PiMinus,Eta_PiPlus,Eta_PiMinus,Pt_PiPlus,Pt_PiMinus,ipX_PiPlus,ipY_PiPlus,ipZ_PiPlus,ipX_PiMinus,ipY_PiMinus,ipZ_PiMinus
5.04144,0,-2.58279,2.48389,0.591745,0.171934,73.6927,69.4397,-0.627343,0.748281,-0.215675,-0.476916,-0.395573,-0.784904
2.96462,0,-0.380609,2.77984,3.17066,1.62907,25.1248,49.5844,0.863521,0.501651,-0.0517524,0.105396,-0.977752,0.181363
5.98214,0,2.25787,-0.734054,-0.000729801,-1.06293,13.8732,50.6696,0.470595,0.386836,0.793031,0.888425,0.239251,0.391741
1.06614,0,2.17018,-1.59001,0.695381,0.0387962,4.64587,53.0228,-0.546425,-0.736638,0.398478,-0.942137,0.00509592,-0.335189
4.95704,0,2.68194,2.95472,1.17923,-1.26145,3.80061,32.0624,0.313001,0.945065,-0.0942475,-0.698186,0.528444,0.482994
0.710709,0,-1.03965,1.05386,0.967633,-0.291816,37.7261,29.3511,0.892671,0.44677,-0.059461,0.831177,-0.529879,-0.168444
2.551,0,0.408326,-0.431612,-0.366322,3.83971,10.4185,7.33709,-0.496237,0.771631,-0.397913,0.274846,-0.96108,-0.0280355
6.2143,0,0.593804,-2.71344,-2.85189,-3.90186,47.2322,19.985,-0.204445,-0.975365,-0.0828581,0.98138,-0.189236,-0.0329152
4.48093,0,2.3982,-1.35547,1.16969,3.34853,11.4731,25.6848,-0.2107,-0.922795,0.322575,0.128979,0.989444,0.0660696
1.64074,0,2.57466,0.915224,2.29237,1.78627,16.5592,68.1384,0.788393,0.611319,0.0687424,0.231136,-0.949757,0.211039
1.78447,0,-0.99075,2.27708,0.127699,-1.31663,35.9477,3.26474,-0.794473,-0.459839,0.396688,0.0632745,0.922201,0.3815
0.0219373,0,-1.7812,-0.0694585,-2.28731,-3.64764,5.87182,60.1044,-0.0508233,-0.978765,0.198586,0.762671,0.645709,0.0373336
0.851999,0,-1.49554,1.4892,1.65143,1.42494,7.9257,53.2411,-0.808344,-0.555057,-0.196194,-0.978869,-0.162885,0.123629
0.0886017,0,-2.81869,0.759685,1.01137,2.08079,54.3783,12.6298,-0.783423,0.0051563,-0.621467,0.608612,0.755085,-0.2438
1.88556,0,-0.0188058,-2.90164,1.88348,3.02255,13.5236,46.2757,0.0827623,0.99637,-0.0199278,-0.878831,-0.467751,-0.0941519
5.92463,0,-2.21883,0.0831246,1.96152,0.275867,32.3659,21.6334,-0.978651,-0.0822775,-0.188344,0.276867,-0.111688,-0.954395
0.172115,0,-0.285746,3.07424,-1.24643,-1.23196,29.1041,11.8887,-0.673263,0.543768,-0.501032,0.840658,0.110707,-0.53013
2.47742,0,1.79465,-1.40474,0.28509,0.674987,56.465,35.4905,0.809023,0.0100225,0.587692,-0.985724,-0.168317,-0.00421284
3.55365,0,-1.20766,1.42785,0.299621,-1.392,66.9421,5.53853,0.816757,0.434037,0.380158,-0.973148,-0.165313,-0.160168
2.38584,0,-3.03247,1.21409,0.419614,1.56405,8.02286,111.626,-0.396791,0.451642,-0.79911,-0.918174,-0.297014,0.262182
0.419761,0,1.7438,-2.12253,0.318582,0.454984,39.7587,67.2076,-0.0170292,-0.315081,0.948912,-0.248405,0.581292,0.774851
5.41473,0,-2.52318,0.931559,-0.146148,0.450823,62.0583,9.25777,0.585444,-0.737826,-0.335958,0.511058,-0.683043,0.521797
3.5511,0,0.344701,2.12635,-1.60869,0.566412,28.6468,4.00773,0.32443,-0.945891,-0.0059571,-0.242215,0.452787,-0.858088
2.95657,0,0.18998,2.12476,-1.57512,-1.71996,16.9101,92.9302,-0.31235,-0.926836,-0.208356,0.202987,0.944649,0.257747
0.864297,0,1.49168,-1.80324,1.31167,0.616908,46.8283,54.3361,0.646748,-0.67253,0.359751,0.0869008,0.543108,0.835154
2.93979,0,-0.557305,-2.02108,1.11712,0.664609,51.5515,20.1485,0.583643,-0.565852,-0.582385,-0.169372,0.661652,0.730431
3.46979,0,2.95037,-0.013061,-1.61698,-2.83338,56.7029,22.6198,-0.9234,-0.117396,0.365445,-0.737869,0.669166,-0.0881191
4.21926,0,-2.30899,0.344781,-1.70997,0.192844,12.3357,25.013,-0.898057,-0.310247,0.311835,-0.17718,0.812343,-0.555614
0.449417,0,-2.40006,-1.95408,1.33889,1.83007,170.117,24.738,-0.062779,0.941248,0.33183,-0.769539,0.631043,0.0979504
1.99312,0,0.355775,0.156679,-3.80208,-0.0292268,25.0318,2.43535,-0.989728,-0.136167,-0.0435619,0.131374,-0.906702,-0.400789
2.68389,0,-2.49201,-0.125555,-1.30544,-0.696831,37.4628,41.0784,0.497318,-0.86439,0.0741905,-0.0964968,0.953622,-0.285121
1.64343,0,-1.44234,2.21099,1.21118,-3.29216,4.41618,3.62584,-0.997437,-0.026036,0.0666425,0.0567792,0.996759,0.0569885
1.86618,0,-0.192464,-2.86445,3.36655,2.156,12.2385,2.9174,-0.343696,-0.939018,0.0108995,0.531694,0.829021,0.17328
