SignedAcoplanarity,Weight,Phi_PiPlus,Phi_PiMinus,Eta_PiPlus,Eta_PiMinus,Pt_PiPlus,Pt_PiMinus,ipX_PiPlus,ipY_PiPlus,ipZ_PiPlus,ipX_PiMinus,ipY_PiMinus,ipZ_PiMinus
5.04144,-1,-2.58279,2.48389,0.591745,0.171934,73.6927,69.4397,-0.627343,0.748281,-0.215675,-0.476916,-0.395573,-0.784904
2.75315,-1,-0.499745,2.77984,3.32072,1.62907,1.43042,49.5844,0.960335,0.274055,-0.0514802,0.105396,-0.977752,0.181363
3.24435,-1,-1.62468,0.847004,-1.16605,-2.59469,3.23514,93.5872,0.665627,0.60269,-0.440119,-0.279767,0.956743,0.0798355
3.68394,-1,2.86423,-1.7689,-1.64985,0.0457548,57.5967,21.2198,-0.188086,-0.981527,-0.035047,-0.186991,0.0832323,0.978829
5.11635,-1,2.48694,-0.530329,0.511062,1.39956,61.2414,18.3102,-0.67169,-0.719146,-0.177937,-0.915573,-0.0741053,0.395264
1.68942,-1,1.35152,-2.62362,-2.41675,1.18158,16.0161,7.88927,0.917544,-0.396208,-0.0336563,0.213417,0.881493,0.421217
0.779021,-1,2.56028,-0.970495,0.610193,1.02947,13.6046,34.141,0.352347,-0.439765,0.82611,-0.932672,-0.160094,0.323254
2.71917,-1,-1.19239,1.54832,-0.396532,1.68466,35.5711,20.5937,0.92573,0.240042,0.292238,-0.900063,0.409323,-0.149466
6.11032,-1,2.30796,-0.963507,0.681506,1.34587,28.2436,6.09316,0.21385,0.779302,-0.589031,0.882443,-0.252396,-0.396978
4.78496,-1,-2.63402,0.358884,1.73047,2.21338,1.84528,40.2195,-0.0616429,-0.979095,-0.193837,-0.468243,-0.868151,0.164504
2.96055,-1,0.672561,2.75609,0.750376,1.40931,11.7653,73.2906,-0.6952,-0.0717301,0.715229,-0.894739,-0.222154,-0.387413
2.74178,-1,0.994952,2.94173,5.51414,1.41816,4.5985,12.5527,-0.0179156,0.999817,-0.00667941,-0.647951,-0.71831,-0.253356
4.43528,-1,1.2755,-2.12364,-0.988817,-0.91639,0.522139,51.8634,-0.0893133,0.778755,0.620937,0.827745,-0.5597,0.0396763
4.26154,-1,1.8788,-1.21237,-1.33769,-0.127515,23.3551,31.7279,0.838098,-0.407824,-0.362314,-0.915839,-0.307888,-0.257767
4.16231,-1,2.02713,0.0230885,-1.58078,-0.916692,25.663,20.9926,-0.895202,-0.445654,-0.00239296,0.403648,0.821783,0.40217
0.691992,-1,2.32922,-0.147211,1.5128,2.7498,50.4339,6.44358,0.957305,0.0854345,0.276165,-0.767873,0.631187,0.109421
6.05804,-1,-3.08023,-0.998139,3.16098,2.29175,22.68,7.77383,0.314584,-0.948981,0.0217225,-0.918758,0.359422,0.163397
3.23996,-1,-1.74837,1.84223,-0.975553,1.12204,43.5884,25.8872,-0.870957,-0.296572,0.391763,0.813964,0.538171,-0.218713
4.61383,-1,-1.61874,0.949166,0.428823,2.58282,8.23044,31.6128,0.310109,0.372293,0.874775,-0.995346,-0.0294935,0.0917443
4.72956,-1,2.72724,-1.04329,0.469044,0.663749,61.9083,29.6426,-0.509839,-0.81038,-0.288702,-0.610631,0.261552,0.747476
4.66634,-1,2.91787,-0.392222,-1.91312,-2.41792,40.7897,20.3876,-0.0123227,-0.997925,-0.0631968,0.850928,-0.495184,0.175255
4.07653,-1,2.13839,-1.46956,0.473363,0.646425,40.7699,66.5938,0.391723,-0.263778,0.881462,0.744767,-0.328577,-0.580826
4.99255,-1,1.64771,-1.35998,-1.36335,-3.9231,13.6326,5.12784,0.967626,0.236422,0.0883393,0.360884,0.932024,-0.0330796
4.87025,-1,-1.36073,-2.81108,-1.51962,-3.21459,48.3008,11.1293,-0.439112,-0.834446,0.332988,-0.479089,-0.875758,0.0593386
5.45009,-1,2.69596,-0.975265,-1.85499,-2.12768,37.3163,73.229,-0.829403,0.468184,0.304787,0.991141,0.00936563,0.132482
4.28305,-1,2.18062,-1.75351,-1.10019,-2.50137,49.9651,14.3357,0.863405,0.500564,-0.0629917,-0.750932,0.655042,-0.0837977
6.11937,-1,0.749761,-2.23584,1.74448,1.07796,51.8065,30.3706,0.181819,-0.964982,0.189083,0.923633,-0.261173,0.280519
5.3562,-1,-1.94678,1.20606,1.95881,2.01732,26.0702,60.2664,0.639304,-0.756997,-0.135075,0.714686,-0.691385,0.105881
5.63141,-1,1.63812,0.392583,-0.116654,3.46678,0.980664,5.04131,-0.275222,-0.130178,-0.952526,-0.729762,-0.6812,0.0584243
5.66443,-1,2.34211,-0.589674,-2.21547,-0.652996,4.03158,24.6107,-0.870798,0.446946,0.204817,0.66764,0.0635807,0.741765
5.13521,-1,-0.689235,2.01666,0.506308,-0.89608,6.40028,11.7139,-0.725215,-0.600957,0.336026,-0.205527,-0.774774,-0.597899
3.54155,-1,0.957542,-2.17374,0.590326,-0.094575,9.51685,53.0727,-0.361438,-0.392304,0.845849,0.422976,-0.189303,-0.886147
3.47167,-1,-1.05973,-2.65533,1.59969,0.336555,35.2371,24.7707,-0.216398,-0.930027,-0.29702,-0.545928,0.726374,-0.417544
6.11818,-1,1.37799,-1.84238,0.737063,0.648731,6.41538,44.6777,0.697749,-0.530948,0.480875,0.919787,0.0264211,0.391527
3.90376,-1,1.14895,-1.90921,3.55223,0.258541,27.2242,4.5712,0.737031,-0.675618,0.0180489,-0.453292,-0.0863408,-0.887171
5.58941,-1,-0.817422,2.19529,-2.02633,-1.38268,25.7186,20.377,-0.826017,-0.562108,-0.0416098,-0.181402,-0.921458,-0.343525
0.543393,-1,-1.50827,1.30462,-2.70567,-2.2637,31.3355,48.5764,-0.948509,-0.314893,0.0342348,-0.420195,0.893576,0.157983
3.60814,-1,0.930534,-2.1587,-1.88847,-1.01373,9.12014,18.9881,0.408219,-0.900776,-0.148189,-0.863326,0.502061,0.0510201
5.27262,-1,-2.40789,0.586,1.86117,2.05611,22.3662,46.467,0.154332,0.958175,0.241004,-0.487413,0.872944,-0.0199476
5.51205,-1,1.19256,-2.09986,-0.203743,1.16271,41.5596,18.7781,-0.578544,0.0501729,-0.814107,-0.947251,0.27289,-0.168069
5.20828,-1,2.08084,-0.961219,-1.58067,0.498104,83.7653,3.83404,-0.765403,-0.638687,-0.0789762,-0.690896,-0.0251199,0.722518
3.7142,-1,1.42968,-2.06617,-1.55449,-3.60274,42.5363,23.7751,-0.471963,0.817983,0.32887,0.987475,0.154286,-0.0330037
4.18102,-1,1.19016,1.87169,2.13899,-1.05552,11.8001,18.106,-0.229438,0.954343,-0.191279,-0.789165,-0.564581,-0.241799
5.91242,-1,-0.531773,2.77403,2.07145,0.836116,44.731,41.675,0.969401,0.149759,-0.194511,-0.0789215,0.901976,-0.424513
2.83039,-1,-2.35489,0.59759,-1.39578,-1.36062,45.1644,20.0527,0.88173,0.227224,-0.413427,0.110184,0.934411,0.338725
5.09364,-1,1.98566,-0.283781,0.26125,-2.08782,11.923,9.26375,-0.854305,-0.243708,-0.459096,-0.316877,-0.948417,-0.00973351
6.12296,-1,2.06266,-0.929024,-0.335314,0.483503,6.56749,41.8138,-0.808322,-0.531352,-0.253537,-0.785746,-0.616753,-0.04712
0.459148,-1,-0.820116,-2.8701,0.135493,-0.866593,30.0935,20.2647,0.550322,0.374694,-0.746157,0.722498,-0.0948731,-0.684832
3.81503,-1,0.452101,-1.61079,2.06865,3.09547,1.92964,10.9119,-0.926408,0.332478,0.176709,0.761699,-0.645529,-0.0557359
4.11587,-1,0.718838,-0.30237,2.13012,5.75332,21.2517,5.19258,0.293117,-0.951062,0.0977916,-0.825924,-0.563768,0.00393725
1.32648,-1,-1.72172,1.83839,3.37362,0.11268,29.9524,0.177999,-0.05763,0.996089,0.0669713,0.963921,0.255553,0.0744923
6.191,-1,-0.0107791,-2.71721,0.695223,2.65181,53.9497,2.96382,-0.347997,-0.82211,0.450593,0.564494,-0.825066,0.0247623
3.48538,-1,0.155464,1.26716,0.000629269,1.78885,12.6238,94.5219,0.152949,-0.976501,0.151827,-0.337695,0.904065,-0.261972
5.69301,-1,-1.69601,1.82602,1.2189,3.0953,47.9222,23.9213,0.966154,0.17431,0.190167,0.561627,-0.823003,0.0850971
4.49464,-1,-1.23928,1.53116,3.78722,1.06,11.9162,15.5589,-0.793667,-0.608183,-0.0143613,0.781796,0.47795,-0.400449
5.37904,-1,2.26436,1.87005,-1.22184,-2.50321,60.9183,8.64074,0.698962,0.712192,0.0650759,-0.186509,0.969069,0.161614
5.79354,-1,0.903677,-1.06007,-2.32471,-1.5487,23.3062,85.0492,-0.882687,-0.435957,-0.175516,-0.932233,-0.35605,-0.0645773
4.06629,-1,0.716594,-2.68593,-1.87709,0.993324,6.87824,12.0271,-0.549218,0.834622,0.0420162,0.810954,-0.188312,0.553978
2.92545,-1,-2.82979,0.627159,1.45449,3.24292,22.3701,6.08034,0.581918,-0.798813,0.152541,0.163991,0.984894,-0.055595
3.08262,-1,2.33626,-0.8049,0.618423,-0.626638,33.953,37.9807,0.443886,-0.333232,0.831818,-0.487322,0.293926,-0.822268
3.831,-1,1.19555,-1.89108,0.473197,1.33574,42.2923,64.5382,-0.20956,0.519685,-0.828258,0.00964651,0.880521,0.47391
2.93166,-1,-0.868114,2.32396,-0.149285,-0.445434,45.0016,46.5337,-0.70635,-0.652215,0.275109,0.749909,0.657607,-0.0720375
3.06389,-1,0.807607,-2.75711,-1.15141,-1.06074,57.0503,17.2129,-0.842103,-0.18918,-0.505047,-0.420616,-0.739871,0.525046
4.09297,-1,-1.00197,2.0901,-1.20676,1.22116,23.567,7.49336,0.588031,-0.601248,0.541036,-0.962207,-0.168358,-0.21404
0.3076,-1,2.96452,-0.607862,2.08779,1.43287,17.8554,58.2591,0.0893883,-0.993792,0.0662329,-0.6449,-0.762793,0.0474372
3.89064,-1,-2.55325,1.18694,1.07175,1.30744,56.9935,9.52312,-0.0779488,-0.89644,-0.436256,-0.416318,-0.7584,0.501505
3.62192,-1,-0.628203,2.45321,-2.96901,-0.220721,3.06025,8.27429,-0.402976,-0.914951,0.0217973,0.579863,0.472398,-0.663777
5.91354,-1,-2.04372,1.13015,1.61254,0.591351,42.5289,47.6968,-0.750201,-0.56134,-0.349422,0.162257,0.508963,-0.845357
4.16746,-1,1.93604,0.24414,4.54748,0.833666,10.0521,10.0084,0.862755,0.50561,-0.00347741,0.355954,0.74584,-0.563045
0.0256846,-1,-1.7853,1.42686,-4.22907,-2.66841,29.3409,17.2243,-0.920038,-0.391466,0.0168517,-0.738859,0.66938,0.0775704
5.92953,-1,-0.225018,3.01466,-2.06834,0.765791,3.92664,20.1169,0.446892,0.892523,0.0607511,0.503542,0.714829,0.485248
2.23819,-1,-0.450949,1.32099,1.66093,1.98148,15.848,83.6446,-0.55657,-0.828975,0.0550418,0.739887,-0.660357,0.128436
0.71798,-1,2.71883,-1.11469,1.9793,2.31299,25.8995,59.6902,0.282341,0.958551,-0.0382536,0.412514,0.902252,0.125593
6.2821,-1,0.0953144,-2.28138,-0.633638,-1.01531,45.8806,5.71379,0.565005,-0.0539877,0.823319,-0.532786,-0.553743,0.639928
4.17554,-1,-0.767635,0.920913,0.357964,-2.20454,14.8565,31.579,-0.00902315,0.458557,0.888619,-0.638766,-0.738009,-0.217532
2.97025,-1,-2.91139,0.476158,-1.01331,-1.33104,12.8907,25.5018,0.100411,0.959076,-0.264748,0.797942,-0.543077,0.26145
4.56444,-1,1.04472,-2.612,-2.09143,0.117775,29.2485,2.20857,0.766502,0.60083,0.226888,0.492411,-0.864587,-0.1001
4.41602,-1,1.3703,-2.10062,-0.275549,0.448277,31.1901,27.1791,0.706452,0.0573048,0.705438,0.345367,-0.592954,-0.727412
4.95629,-1,0.391039,-2.75037,3.09283,2.96932,57.0926,21.6182,-0.743574,-0.663166,0.085497,0.295159,-0.955402,-0.0094153
5.53786,-1,1.94693,2.68034,-1.67,-2.3782,94.4795,50.6112,-0.159572,-0.935048,-0.316579,-0.612415,0.772717,0.166903
