SignedAcoplanarity,Weight,Phi_PiPlus,Phi_PiMinus,Eta_PiPlus,Eta_PiMinus,Pt_PiPlus,Pt_PiMinus,ipX_PiPlus,ipY_PiPlus,ipZ_PiPlus,ipX_PiMinus,ipY_PiMinus,ipZ_PiMinus
5.04144,1,-2.58279,2.48389,0.591745,0.171934,73.6927,69.4397,-0.627343,0.748281,-0.215675,-0.476916,-0.395573,-0.784904
2.96462,1,-0.380609,2.77984,3.17066,1.62907,25.1248,49.5844,0.863521,0.501651,-0.0517524,0.105396,-0.977752,0.181363
0.934429,1,2.25787,-0.710941,-0.000729801,-1.09835,13.8732,18.5205,0.470595,0.386836,0.793031,0.33254,-0.758527,0.560405
2.59498,1,-2.33484,0.702381,-1.63479,-3.4271,40.177,24.3134,0.936762,-0.303744,-0.173829,-0.74614,0.665727,-0.00906847
5.44606,1,2.96396,0.101224,2.33079,1.32228,48.5143,10.335,-0.179683,0.981319,-0.0687519,0.709298,0.553112,-0.436994
5.84418,1,2.3841,0.585314,4.69506,2.00129,8.99546,62.9059,0.0790362,0.996806,-0.0114717,-0.62677,0.77879,0.0253836
3.19605,1,2.18284,-0.941254,-1.50493,-1.61633,42.3527,0.55012,0.607296,-0.673981,-0.420644,0.406743,-0.832042,0.377182
3.07405,1,-0.888306,-0.861362,-0.408709,0.638372,163.871,31.6645,-0.516312,0.0434646,-0.855297,0.549254,-0.24675,-0.798395
2.20931,1,-2.28035,1.65108,-2.38495,-1.89412,74.0703,17.2853,-0.982616,0.15855,0.0965755,0.794773,0.585428,0.16003
0.886097,1,-0.968657,1.09628,1.86371,-0.341496,29.8587,17.5018,0.935145,0.345611,-0.0778214,0.82352,-0.515609,-0.236564
3.30549,1,-1.44305,1.17822,1.03488,0.55277,67.4527,32.5133,0.46188,-0.666386,-0.585318,-0.492868,-0.307967,0.81378
1.5974,1,-1.87755,0.112563,2.08616,2.34354,6.02393,57.2178,0.525364,0.81734,0.236534,0.524724,-0.847257,-0.0825872
1.91131,1,-1.34534,-0.801579,-1.60526,-1.8948,1.72767,60.0512,-0.974964,-0.222362,-0.000512433,0.961537,-0.13952,0.236601
4.74516,1,-2.60383,0.113685,-1.62456,-2.56739,18.991,21.0194,0.909874,0.201552,-0.362636,0.531872,-0.844186,0.0667961
2.27584,1,1.393,-1.38402,1.39405,0.932145,54.2675,5.55774,-0.144378,-0.872208,0.467342,-0.605652,-0.636294,-0.477824
0.916427,1,-0.901715,2.47379,-1.71019,-2.4729,38.312,1.33126,-0.0506943,-0.961464,0.270216,-0.546554,0.822114,0.159398
2.81526,1,-0.145709,3.02976,-0.331128,-0.144273,16.4701,95.7813,0.345566,0.474383,0.809657,0.115045,-0.229389,-0.966512
1.7206,1,2.67414,0.659988,1.35599,1.04922,50.994,28.7052,0.599985,-0.655429,0.458727,0.863084,-0.328737,-0.38343
3.54998,1,0.210435,-2.22382,0.462616,1.11188,19.466,69.5684,-0.312142,-0.453785,0.834654,-0.644088,-0.498114,-0.580545
2.90164,1,-3.13822,0.992738,1.60544,2.38778,25.3903,54.1915,0.88651,0.276015,0.37137,0.991229,0.0711581,-0.11136
0.991532,1,-1.13287,-2.54416,1.28379,-2.68626,4.02654,3.60768,-0.93637,0.14762,0.318463,-0.379124,0.924912,-0.0283157
3.43663,1,1.8594,2.85441,0.359702,-2.26687,14.2295,23.8537,0.749553,-0.0309523,0.661221,-0.593907,0.78721,0.16606
3.02211,1,1.61589,0.458946,-1.54741,-1.51368,82.013,23.5324,0.214858,0.893773,0.393708,-0.555754,-0.738472,-0.381832
4.54263,1,-0.246307,2.97282,0.542424,-0.130036,65.1158,15.1023,0.25259,-0.6561,-0.711148,0.207396,0.870163,-0.446994
1.94685,1,-0.644837,1.76635,0.0225522,-1.21956,30.2462,48.4512,-0.178055,-0.200599,0.963357,0.884192,0.436632,0.166
0.118197,1,2.25544,-0.824677,1.71628,-0.507328,1.21828,32.9848,0.060072,0.96293,-0.262976,0.365452,0.742502,-0.56137
2.65432,1,-1.17905,0.502296,-0.18299,-1.25468,25.6783,11.4845,0.0117134,0.199902,-0.979746,-0.348666,0.932998,0.0891394
2.32662,1,-1.18418,2.57431,1.86501,2.13692,13.5743,12.6868,-0.918113,-0.396264,-0.00661245,0.978279,0.0922756,0.185623
1.31002,1,-0.536738,-1.64941,-1.01042,1.72703,59.3827,4.62629,0.59687,-0.485363,0.638881,0.706889,0.657387,0.261056
1.50115,1,-2.66526,1.42006,-2.32255,-1.67919,29.8039,23.6229,0.454401,-0.890797,0.000916142,0.245517,-0.9102,-0.333552
0.895913,1,1.26083,-2.24662,-2.61445,-1.02273,15.578,26.1131,-0.901449,-0.421287,-0.0995363,0.703932,0.373248,-0.604289
1.98183,1,3.13165,1.42361,1.685,1.94117,39.3641,109.498,0.0191727,0.99981,0.00354447,0.0584043,-0.959473,0.275681
5.71702,1,0.707868,-2.2238,-2.06411,-3.30581,14.9002,49.0175,0.184484,0.96275,0.197683,-0.756868,-0.649627,0.0716623
0.875722,1,0.469727,-2.64739,1.00531,0.803794,25.9519,49.3636,-0.144319,0.955635,-0.256776,-0.695703,-0.0571508,-0.716052
0.11306,1,2.84936,0.0393505,-2.08666,-0.605182,26.7531,28.7468,-0.549391,-0.832443,0.0721662,0.244985,-0.913461,0.324918
6.10177,1,-3.13705,-0.490894,-1.48159,-3.75599,6.70043,27.2137,0.557591,0.785333,-0.268968,-0.693552,0.719033,-0.0444699
2.19544,1,1.18745,-1.46973,0.302674,-0.387262,45.7319,10.8063,0.928288,-0.371779,-0.00785394,-0.673269,-0.331933,0.660704
3.37437,1,-1.59922,1.74514,-1.95916,-1.66478,34.2911,75.7837,-0.655388,0.727283,-0.203777,0.703688,0.677517,0.213995
0.208757,1,-0.0572734,1.82765,3.09224,1.58602,32.6999,10.9802,0.985941,0.141527,-0.0888247,0.578234,0.774246,-0.25727
3.42847,1,2.63604,-1.91651,0.0809903,-2.66647,23.4141,9.70124,-0.395841,-0.598507,-0.69649,0.99203,-0.122151,-0.0309012
5.25884,1,-2.01185,1.28967,1.55513,2.96132,0.424494,43.6521,0.899025,-0.437864,-0.00538312,0.176527,-0.979928,0.0926217
1.06707,1,-0.343665,2.0295,-2.34808,-2.17144,28.7175,52.0278,-0.978628,0.0924004,-0.183712,-0.800597,-0.597734,-0.0419217
4.41808,1,0.112908,-2.75995,-2.39194,1.49586,0.733478,18.1574,0.829353,0.534388,0.163104,0.287221,-0.956926,-0.0423879
4.5055,1,-3.02092,-0.431906,-0.0745254,-4.13626,12.1876,1.20817,-0.0308087,-0.330475,0.943312,0.0208062,0.999702,-0.0127759
3.3466,1,0.318135,-2.96996,2.06917,1.08845,39.4289,15.1645,-0.573348,0.815938,0.0742708,0.0395556,-0.994262,-0.0993866
1.21845,1,-2.3651,0.578928,-1.92916,-1.46594,16.3333,25.0425,-0.164178,-0.958256,0.234075,0.302562,-0.944429,-0.128496
2.78128,1,-1.05643,2.08407,-0.383047,2.30589,49.9931,11.6593,-0.561178,0.0551839,-0.825853,0.582381,-0.788945,0.195955
