SignedAcoplanarity,Weight,Phi_PiPlus,Phi_PiMinus,Eta_PiPlus,Eta_PiMinus,Pt_PiPlus,Pt_PiMinus,ipX_PiPlus,ipY_PiPlus,ipZ_PiPlus,ipX_PiMinus,ipY_PiMinus,ipZ_PiMinus
5.04144,1,-2.58279,2.48389,0.591745,0.171934,73.6927,69.4397,-0.0206127,0.0245863,-0.00708645,-0.0129216,-0.0107177,-0.0212663
2.96462,1,-0.380609,2.77984,3.17066,1.62907,25.1248,49.5844,0.0334569,0.0194363,-0.00200513,0.00630646,-0.0585044,0.010852
0.934429,1,2.25787,-0.710941,-0.000729801,-1.09835,13.8732,18.5205,0.0569415,0.0468067,0.0959558,0.0503826,-0.114923,0.084906
2.59498,1,-2.33484,0.702381,-1.63479,-3.4271,40.177,24.3134,0.0206102,-0.00668284,-0.0038245,-0.0646794,0.0577088,-0.000786104
5.44606,1,2.96396,0.101224,2.33079,1.32228,48.5143,10.335,-0.00405636,0.0221534,-0.00155209,0.0234914,0.0183187,-0.0144729
5.84418,1,2.3841,0.585314,4.69506,2.00129,8.99546,62.9059,0.013736,0.173239,-0.00199371,-0.0102181,0.0126964,0.000413823
3.19605,1,2.18284,-0.941254,-1.50493,-1.61633,42.3527,0.55012,0.0225338,-0.0250081,-0.015608,0.135929,-0.278059,0.12605
3.07405,1,-0.888306,-0.861362,-0.408709,0.638372,163.871,31.6645,-0.0709969,0.00597671,-0.11761,0.0145304,-0.00652772,-0.0211214
2.20931,1,-2.28035,1.65108,-2.38495,-1.89412,74.0703,17.2853,-0.0015432,0.000249004,0.000151672,0.114468,0.0843165,0.0230484
0.886097,1,-0.968657,1.09628,1.86371,-0.341496,29.8587,17.5018,0.015061,0.00556623,-0.00125335,0.0223843,-0.0140149,-0.00643011
3.30549,1,-1.44305,1.17822,1.03488,0.55277,67.4527,32.5133,0.0154706,-0.0223205,-0.0196052,-0.0212805,-0.013297,0.0351364
1.5974,1,-1.87755,0.112563,2.08616,2.34354,6.02393,57.2178,0.0963698,0.149928,0.0433884,0.0602001,-0.0972035,-0.00947501
1.91131,1,-1.34534,-0.801579,-1.60526,-1.8948,1.72767,60.0512,-0.0664279,-0.0151503,-3.49139e-05,0.0545845,-0.00792028,0.0134314
4.74516,1,-2.60383,0.113685,-1.62456,-2.56739,18.991,21.0194,0.279003,0.0618039,-0.111199,0.0197986,-0.0314243,0.00248644
2.27584,1,1.393,-1.38402,1.39405,0.932145,54.2675,5.55774,-0.00109526,-0.00661659,0.00354527,-0.0283633,-0.0297984,-0.022377
0.916427,1,-0.901715,2.47379,-1.71019,-2.4729,38.312,1.33126,-0.000471979,-0.0089515,0.00251579,-0.00346074,0.00520556,0.0010093
2.81526,1,-0.145709,3.02976,-0.331128,-0.144273,16.4701,95.7813,0.0252902,0.0347177,0.0592547,0.0023163,-0.00461846,-0.0194595
1.7206,1,2.67414,0.659988,1.35599,1.04922,50.994,28.7052,0.0211221,-0.023074,0.0161492,0.118177,-0.045012,-0.0525009
3.54998,1,0.210435,-2.22382,0.462616,1.11188,19.466,69.5684,-0.102336,-0.148774,0.273643,-0.00560483,-0.00433456,-0.00505188
2.90164,1,-3.13822,0.992738,1.60544,2.38778,25.3903,54.1915,0.135882,0.0423069,0.0569227,0.0294433,0.00211367,-0.00330782
0.991532,1,-1.13287,-2.54416,1.28379,-2.68626,4.02654,3.60768,-0.476848,0.075176,0.162178,-0.128921,0.314517,-0.00962877
3.43663,1,1.8594,2.85441,0.359702,-2.26687,14.2295,23.8537,0.0338073,-0.00139605,0.0298232,-0.015098,0.020012,0.00422148
3.02211,1,1.61589,0.458946,-1.54741,-1.51368,82.013,23.5324,0.00442885,0.0184233,0.00811549,-0.482915,-0.641686,-0.331788
4.54263,1,-0.246307,2.97282,0.542424,-0.130036,65.1158,15.1023,0.0040396,-0.0104928,-0.0113732,0.0709023,0.297481,-0.152813
