SignedAcoplanarity,Weight,Phi_PiPlus,Phi_PiMinus,Eta_PiPlus,Eta_PiMinus,Pt_PiPlus,Pt_PiMinus,ipX_PiPlus,ipY_PiPlus,ipZ_PiPlus,ipX_PiMinus,ipY_PiMinus,ipZ_PiMinus
5.04144,1,-2.58279,2.48389,0.591745,0.171934,73.6927,69.4397,-0.627343,0.748281,-0.215675,-0.476916,-0.395573,-0.784904
2.75315,1,-0.499745,2.77984,3.32072,1.62907,1.43042,49.5844,0.960335,0.274055,-0.0514802,0.105396,-0.977752,0.181363
3.24435,1,-1.62468,0.847004,-1.16605,-2.59469,3.23514,93.5872,0.665627,0.60269,-0.440119,-0.279767,0.956743,0.0798355
3.68394,1,2.86423,-1.7689,-1.64985,0.0457548,57.5967,21.2198,-0.188086,-0.981527,-0.035047,-0.186991,0.0832323,0.978829
1.0473,1,2.50363,-0.530329,0.502705,1.39956,104.722,18.3102,0.593681,0.0978223,0.798733,-0.915573,-0.0741053,0.395264
4.59927,1,-0.438269,1.84025,0.947245,0.0188909,41.4166,5.55861,0.0722705,-0.908454,-0.41169,0.883278,0.251685,-0.395568
3.18097,1,1.91367,-1.50766,1.10058,0.995683,62.9231,19.8337,0.539554,-0.618361,0.571412,-0.230063,-0.746118,-0.624803
5.53924,1,0.517127,-2.7613,0.449922,1.53142,10.3506,29.5726,0.0367697,-0.718389,0.694669,0.529147,-0.844688,0.0806608
1.92395,1,-0.0269036,-1.10308,-0.941757,-0.749862,90.2198,33.3203,0.121381,0.988774,0.0871345,-0.368615,0.52217,-0.769066
4.36776,1,-2.45494,1.1279,1.37503,2.0644,3.99716,35.1409,0.459785,-0.881228,-0.109701,-0.633719,-0.734953,0.241336
6.2472,1,-2.97152,-0.541546,-0.80991,-1.09721,74.4499,12.1291,-0.042172,0.989302,-0.139651,0.264782,0.944336,-0.195246
0.0674387,1,-2.95562,-0.225684,-0.717977,1.54058,22.6019,31.4184,-0.394553,-0.649471,0.650012,-0.666391,-0.712372,0.22011
0.943114,1,1.61136,-1.43071,-1.2338,-2.22197,50.9461,25.4945,-0.27686,-0.81411,-0.510464,0.511303,0.842931,-0.16744
1.67749,1,2.34391,-1.33397,2.95311,1.5943,18.6454,47.6062,-0.812045,-0.583385,-0.0156495,0.153052,-0.908344,-0.389212
1.36428,1,2.00554,0.099389,0.893683,-2.14819,11.417,14.7375,-0.445344,0.568861,-0.691423,0.606764,0.778379,0.161134
5.79412,1,1.22919,-2.02026,-0.813994,-3.42018,4.3695,13.2693,0.658282,0.387273,0.64551,0.602296,-0.797712,0.0299127
5.47985,1,0.692426,-3.13976,3.22385,1.28263,20.1422,3.53038,-0.815103,-0.573873,0.0792305,0.271662,-0.94863,0.162175
3.96217,1,1.6583,-1.26025,-3.55909,-3.21084,51.6824,4.30443,0.893637,-0.447796,-0.0298656,-0.996477,-0.081842,-0.018302
6.13416,1,2.12915,-0.541491,-2.29657,0.554042,32.1511,7.11052,0.442508,-0.874538,-0.198418,0.0260751,-0.729511,-0.683472
0.414847,1,1.94772,-1.18405,-2.50498,-2.41963,19.508,47.2078,-0.647616,0.746381,0.153326,-0.357807,-0.924788,0.12939
5.53822,1,1.41147,-0.240391,-1.20597,2.45163,2.44173,3.34514,-0.968794,0.241516,0.055748,-0.567108,0.813442,0.129235
4.5572,1,-1.07203,1.5154,-0.505558,1.7001,37.0291,21.9275,-0.864752,-0.499893,0.0480657,-0.291247,0.897038,-0.332412
0.919294,1,0.283837,-3.11668,-1.65628,-1.67418,47.2222,6.60196,0.367046,0.898897,0.239293,0.169669,0.982611,-0.0754203
3.53248,1,-1.73281,1.32835,-0.501676,0.171689,26.7798,9.63313,-0.0313849,-0.464002,0.885278,-0.395175,0.2546,-0.882619
1.49712,1,0.739281,-0.405662,1.45608,1.25159,73.0746,81.299,0.664063,0.602852,-0.442255,0.196352,0.972318,0.126664
4.27037,1,0.0712785,2.87815,3.88161,1.84777,19.5835,27.6575,-0.693884,-0.719433,0.0306657,-0.945892,0.111879,-0.304583
0.655788,1,-2.08266,2.32185,-1.13526,-2.66088,19.2304,10.2996,-0.854997,0.518096,-0.0235893,-0.72978,0.669468,0.138686
1.46865,1,-0.464107,1.73244,1.14603,1.37798,20.482,59.2336,-0.828774,-0.390912,0.400401,0.796025,-0.503197,0.336358
5.48391,1,1.81093,-0.902764,-0.598145,-2.16321,0.680005,49.8168,-0.965174,-0.259246,-0.0350817,-0.423503,-0.899964,0.103488
5.30383,1,-0.35056,1.20027,-0.672017,0.840322,31.5506,28.3445,0.645516,0.231446,0.727834,0.348745,-0.729979,0.587799
2.54023,1,-1.94798,-2.96826,-0.673863,-1.20924,1.79479,148.983,0.616044,-0.621747,0.483654,0.455501,-0.868428,-0.195837
3.26117,1,-1.46744,0.999804,0.992023,1.32043,13.4471,38.2654,0.834475,0.453145,0.313547,-0.68719,0.714375,-0.132057
5.37151,1,1.03107,-1.83704,-0.614168,-2.52064,9.88609,25.3174,-0.87981,0.197797,-0.432216,-0.994412,0.102222,0.026387
5.01222,1,-0.680157,1.9288,2.08915,2.71446,5.04523,62.0582,0.332049,-0.919516,-0.210317,0.218138,0.969622,-0.110672
5.77393,1,2.21031,-1.07645,-2.97457,-1.23942,4.00537,12.3464,0.93175,-0.352786,-0.0859336,-0.256214,0.80998,-0.527529
4.24624,1,-0.98762,1.74876,0.425703,-0.191411,12.7112,85.3142,0.812709,0.57737,0.0784167,-0.640884,0.0347763,0.76685
0.920812,1,-1.15026,0.966535,-2.27134,-3.14391,27.8902,18.1583,-0.96684,0.222839,-0.124753,-0.915194,0.402685,-0.0162923
6.18949,1,-2.22326,2.03719,-0.740281,-1.95635,73.9606,21.9703,0.561173,-0.76086,0.325848,0.941299,0.335689,-0.0356147
0.730218,1,0.181212,1.12767,-0.683992,1.19436,2.49591,50.4899,0.178776,0.874226,0.451406,-0.108821,0.864885,-0.490032
2.00826,1,-0.988297,-2.90325,0.251854,0.421264,19.8255,60.078,0.395706,-0.0191792,-0.918177,0.233386,-0.972363,-0.00639503
4.74283,1,3.13847,0.818815,-0.850607,0.538644,20.1987,11.4832,-0.557799,-0.592753,0.580952,-0.77342,0.619515,0.134246
3.32251,1,1.95205,-0.144716,-0.576749,-1.57339,0.404034,26.5335,-0.424467,0.371763,0.825603,-0.411577,0.881468,-0.231558
3.27702,1,-3.02313,0.184689,-0.229403,0.569543,17.1179,49.1859,-0.0845426,-0.692522,0.716426,0.193705,0.803739,-0.562567
1.87688,1,2.33615,-0.865999,0.995302,-0.166971,0.634155,53.8477,0.868142,0.42855,0.250349,-0.388437,-0.500724,0.773558
5.69198,1,-0.0655453,2.9898,-3.23312,-1.1861,10.4714,8.8072,0.742117,-0.667402,0.0619482,-0.445127,-0.871051,0.207682
4.23927,1,1.04564,-2.23645,0.417318,0.871411,15.562,38.6773,-0.577758,-0.0689729,0.813289,0.804142,-0.593675,0.030106
5.49559,1,1.68538,-2.99864,-1.73908,-0.00768117,21.8503,22.6479,-0.747872,-0.633847,-0.197295,-0.0676356,0.515956,-0.853941
4.46435,1,1.01373,-1.87613,-3.25845,-2.24457,13.1819,40.0705,-0.908059,0.418732,-0.00960048,-0.0579466,-0.97735,0.203541
5.43592,1,1.31908,-1.63875,-1.648,-2.48585,38.8367,1.54131,-0.424779,0.857691,0.289705,0.0318095,-0.985855,0.164557
4.93925,1,-2.06673,1.90257,-2.89395,-1.29295,16.3462,45.1033,0.936357,0.341145,-0.0828038,0.214624,0.868841,0.446152
6.00893,1,-2.20395,2.64006,-0.0750946,-1.62825,76.9047,8.12429,-0.759185,0.584004,-0.287363,-0.894014,-0.374048,0.246631
4.89224,1,2.40665,-0.600148,-1.7902,-3.24673,4.37994,21.2077,-0.62268,0.712797,0.322786,0.682911,0.730406,0.0117711
4.2988,1,0.325404,2.72236,1.32219,3.56852,15.7107,24.4731,0.714321,-0.64565,-0.269965,-0.699476,0.71273,-0.0524339
0.634466,1,1.22324,-2.25784,0.151514,-0.253083,26.6642,8.6273,0.615558,-0.0964648,-0.782166,0.78054,-0.531444,-0.329129
6.07641,1,2.2081,1.05816,0.877368,3.3608,15.8233,9.64069,0.0651364,0.794764,-0.603413,0.908953,-0.41686,-0.00573713
1.42532,1,-2.71517,0.116528,-0.827795,-2.0843,55.6069,9.39858,0.209322,0.799429,-0.563114,0.246539,0.964924,0.0902274
1.26321,1,0.537778,-2.52821,4.48253,2.32806,23.4897,25.6082,-0.942552,0.333747,0.0144393,-0.937904,0.327687,-0.113832
3.64762,1,-1.60249,1.53974,-1.08367,-0.771738,1.98256,48.6244,0.650315,0.596031,-0.470997,-0.156727,0.64293,0.749719
6.08881,1,1.31814,-2.11377,3.09279,2.2785,37.0996,19.0752,0.658221,-0.751084,0.0511705,0.965899,-0.252197,0.0586241
0.19716,1,2.51256,-0.65692,-0.965049,-0.727556,6.33485,16.1757,0.728867,0.660922,-0.178703,0.57399,0.816951,-0.0559157
0.641954,1,1.21392,2.44546,1.24383,2.20188,30.5615,16.5844,-0.426266,-0.735317,0.526882,0.356725,0.931396,-0.0724498
5.95439,1,-1.63213,0.565938,-0.267718,2.24169,17.8316,2.86484,-0.965896,-0.0109022,0.2587,-0.957309,0.250134,0.144884
1.52458,1,-1.55599,0.794529,-3.66445,-1.11474,29.608,12.9822,0.68927,0.723581,-0.0365706,-0.783311,0.61645,-0.0800846
0.239391,1,2.28411,-0.613136,1.44653,1.36954,57.7831,5.29722,-0.158143,0.905852,-0.392967,0.918542,0.179588,-0.352177
0.986969,1,-2.7364,0.482753,-0.101662,-1.60701,12.9648,34.0941,-0.252657,0.747686,-0.614109,-0.136248,0.980763,0.139789
4.17588,1,0.435335,-2.78987,-0.416635,-0.5578,30.1138,31.0772,-0.095935,0.803565,0.587435,0.169093,-0.943946,0.283501
4.21115,1,-2.46126,0.400908,-0.158419,0.394025,6.80107,45.6768,-0.554399,0.766873,-0.323338,0.518956,-0.527544,-0.672594
2.78214,1,1.67138,-2.09941,0.187077,0.777205,39.9519,18.2281,-0.771077,0.0423375,-0.635333,0.911103,-0.151202,0.383445
1.96822,1,-0.7691,2.42195,0.698764,0.387841,15.3956,30.4198,-0.612245,0.200087,0.764932,0.621423,0.775653,-0.110437
0.668798,1,-1.13597,-2.83866,0.672713,0.402757,14.3617,73.5223,0.498955,0.670467,0.549106,-0.351894,0.924736,-0.145029
4.92279,1,2.85894,-0.83935,1.47152,0.981154,9.5596,18.2974,-0.795932,-0.526197,-0.299347,-0.888817,-0.114083,0.443836
4.9379,1,2.37114,-0.678268,1.61197,0.615918,16.9262,38.6257,-0.615068,-0.787222,0.0444193,-0.516991,0.222171,0.826656
0.901694,1,-0.671951,2.61226,-0.631371,0.448962,108.923,5.04238,-0.663495,-0.743484,-0.0837012,-0.133831,-0.784908,0.604987
5.77407,1,-1.94013,0.476236,-1.96226,-2.59684,36.0313,64.0676,-0.570064,0.806525,-0.156664,-0.959094,-0.243458,-0.144451
5.93272,1,-0.574478,-2.78793,-1.06754,-0.580203,36.221,35.1679,-0.0687561,0.901581,-0.427113,-0.253377,0.955363,-0.151927
4.16295,1,-2.03714,1.20563,2.00123,0.730502,5.86335,38.3484,-0.581692,-0.770239,-0.261471,0.817419,-0.521441,0.244796
0.184033,1,1.98787,-2.53581,1.20144,1.73334,14.3932,55.096,-0.940922,-0.334982,-0.0495278,-0.932433,0.286592,-0.220078
6.17877,1,-0.857746,-2.95964,-0.338627,-0.527955,16.5071,103.904,-0.0936591,0.34513,-0.93387,0.442935,0.23549,-0.865074
6.06676,1,2.47291,-0.77602,-2.31058,1.23231,7.97697,6.42243,-0.985604,-0.0886796,0.143946,-0.899689,0.0535695,0.433231
5.21544,1,2.63732,-0.376481,-0.0489694,0.621683,14.2999,28.2586,-0.255318,-0.543714,-0.799492,-0.454129,-0.878198,0.150117
4.08544,1,-1.17868,1.54403,2.85812,1.24514,28.2001,65.3082,-0.854781,-0.518691,-0.0175771,0.884613,0.388141,-0.258468
