jet0Pt,jet0Eta,jet0Phi,jet1Pt,jet1Eta,jet1Phi,DiTauPt,DiTauEta,DiTauPhi,SignedDeltaPhi,Weight
104.375,2.65972,0.946867,99.7585,-2.7073,2.81526,94.6759,0.741435,-1.88591,-1.8684,-0.0128315
159.861,-2.29402,-0.00301781,112.81,1.6272,1.46935,147.652,-0.750478,-2.68744,1.47237,0.0128315
149.587,-2.33303,0.922506,74.4145,2.81478,1.35891,110.688,-0.364257,-2.38226,0.4364,0.0128315
108.75,-0.304996,0.32417,39.9256,3.48137,2.30687,64.3548,1.30189,-2.61842,1.9827,0.0128315
169.923,-1.90655,-0.55237,82.721,1.85785,-0.203847,197.093,-0.719459,2.80751,0.348523,-0.0128315
81.4665,-1.33764,2.83362,31.0234,4.25278,-3.04791,70.0492,1.95439,0.0129474,0.401658,-0.0128315
196.722,-1.26583,1.52131,46.8498,2.02912,-1.26616,84.3706,0.627372,-2.02294,-2.78747,-0.0128315
100.48,-1.94617,-1.66974,94.3006,3.98859,0.112202,94.6021,1.68357,2.35942,1.78194,0.0128315
104.637,-3.3582,-1.22126,98.9632,0.999857,2.78881,54.1043,-1.12583,1.18826,-2.27312,-0.0128315
188.644,2.0743,2.05016,67.9072,-1.80082,0.418288,190.357,0.654204,-1.56063,1.63187,-0.0128315
124.823,2.80027,1.55096,52.0854,-2.87373,2.45407,109.896,1.08336,-1.34021,-0.903115,0.0128315
260.852,-2.2674,-1.99452,159.624,1.95951,0.00500503,323.467,0.704423,1.5445,1.99952,0.0128315
111.895,-0.27552,0.16092,44.1166,4.08755,1.41888,106.67,0.630789,-2.64179,1.25796,0.0128315
188.149,3.15738,-1.62061,81.5639,-3.08136,-1.93015,187.267,0.275945,1.67078,0.309548,0.0128315
117.311,2.00168,-1.16004,58.5279,-4.23104,1.9275,77.2165,-0.497173,1.76866,-3.08754,0.0128315
106.959,-1.81124,-0.986608,79.5238,1.60994,-1.85359,106.984,-1.52549,2.11212,-0.866979,-0.0128315
160.013,2.07615,0.728063,124.273,-2.05894,0.886223,88.6417,-0.169628,-2.27815,-0.158161,-0.0128315
262.49,-2.66792,2.15866,163.286,0.468115,-0.273332,94.2807,-0.991529,-1.83786,-2.43199,-0.0128315
78.3899,1.10695,0.167683,77.7314,-3.09111,2.3427,55.6616,-0.69797,-1.79378,-2.17502,-0.0128315
300.843,1.71012,1.67535,179.482,-2.87148,0.461872,239.271,0.9419,-1.86946,1.21348,0.0128315
289.104,0.544218,-2.66359,180.829,-3.28057,1.95547,108.129,-0.407781,-0.272181,1.66413,0.0128315
76.7681,3.20827,-1.50539,34.4919,-2.77734,-0.325212,35.6443,1.46824,1.76335,-1.18018,0.0128315
294.358,-2.50633,1.1071,39.2392,1.80511,2.16839,196.049,-0.90981,-1.88854,1.06128,-0.0128315
159.658,-1.98433,-0.83456,82.0942,3.75761,-2.0104,115.949,1.06665,1.94789,-1.17584,-0.0128315
181.576,2.85377,2.01836,62.6383,-3.27349,-0.111067,140.114,-1.93699,-1.33946,2.12943,0.0128315
219.692,1.24402,-2.82302,157.868,-3.25213,2.75547,167.55,0.616089,0.00116465,0.704693,0.0128315
145.965,-2.11234,2.8309,126.796,1.89868,0.173331,50.6318,-1.52702,-0.412299,-2.65757,-0.0128315
105.979,-1.38336,0.535736,96.2398,3.73315,-0.650511,134.838,1.93973,-2.59067,-1.18625,-0.0128315
102.614,2.50131,-2.88213,45.3268,-1.34715,2.03796,108.994,1.49908,-0.0118173,1.36309,0.0128315
190.395,-0.996487,-1.06744,114.865,2.43866,-2.12545,118.055,1.73355,1.26933,-1.05802,-0.0128315
95.6929,-2.06687,2.21155,59.7385,3.73282,-2.63266,59.7653,-0.324584,-0.589274,1.43897,0.0128315
299.066,-1.8568,-1.42524,78.3364,1.48364,-1.79394,334.384,-1.21354,1.6041,-0.368702,-0.0128315
220.569,-2.01628,2.78125,145.842,1.8038,3.06883,135.885,-0.286,-0.0689071,0.287581,0.0128315
52.7474,-2.68217,-0.11602,40.8816,3.4093,1.57714,32.1385,-2.07595,-2.27455,1.69316,0.0128315
108.841,2.80202,-0.482089,97.8639,-1.91767,-2.34188,83.0082,0.473735,2.57145,1.85979,0.0128315
179.55,-2.17959,1.15478,55.5425,2.48383,0.458433,129.979,-1.10074,-2.019,-0.69635,-0.0128315
215.247,-0.967002,1.92263,60.1648,3.86697,3.04839,146.716,0.38752,-1.22792,1.12576,0.0128315
360.74,-1.88116,2.61193,143.145,3.63867,0.575102,200.268,0.165471,-1.01618,-2.03683,-0.0128315
128.82,-2.5686,-2.25817,99.0577,1.72879,0.0194554,85.9087,1.52453,1.53207,2.27762,0.0128315
133.246,1.87207,-2.40671,76.644,-2.84689,-0.66555,146.574,-0.249765,1.30157,-1.74116,0.0128315
159.378,-1.07712,-2.93612,61.4463,3.47429,-1.82785,129.185,0.456517,0.532538,1.10827,0.0128315
625.911,-0.398962,1.15501,200.47,2.69542,-1.64333,201.407,0.0803262,-2.05283,-2.79834,-0.0128315
150.423,-1.02693,-0.843447,122.461,2.46395,-1.33812,272.01,-0.812523,2.28579,-0.494672,0.0128315
216.434,1.34511,-2.35244,68.2818,-2.93459,2.32254,122.724,-0.938743,0.481253,1.6082,0.0128315
105.199,3.58165,2.63023,41.1485,-2.09867,-2.23291,95.8302,1.15458,0.0664473,-1.42004,-0.0128315
116.14,1.22503,-1.49977,104.286,-2.47453,-2.73105,124.143,-0.652079,1.29411,1.23128,0.0128315
209.054,2.3433,2.6345,77.8429,-0.835956,0.101315,130.73,0.116826,-0.978472,2.53318,0.0128315
244.064,-1.85353,0.293593,71.0336,3.48259,2.12187,235.155,-0.474861,-2.64837,1.82827,0.0128315
187.114,-2.10718,1.0229,133.25,2.37183,2.50436,181.162,-1.22487,-1.87089,1.48146,0.0128315
73.6111,0.788349,-1.27345,58.2201,-4.65557,-0.0189033,111.729,-0.303581,1.86568,-1.25454,-0.0128315
138.923,3.13689,-0.260817,34.0023,-2.11261,-1.37336,105.683,0.156407,2.4171,1.11254,0.0128315
136.649,2.52676,-0.510817,66.3806,-4.04698,-2.45307,153.994,-1.66793,2.90484,1.94225,0.0128315
109.291,3.16408,-0.995712,43.7892,-1.36016,0.888084,59.679,0.72581,2.85905,-1.8838,0.0128315
134.306,-2.17064,-0.789691,104.54,1.90982,-2.15799,110.788,-1.9766,1.7936,-1.3683,-0.0128315
239.612,-0.310109,2.2686,74.1718,4.1513,0.256004,194.603,0.955937,-1.20694,-2.01259,-0.0128315
246.513,2.78066,-1.53055,169.851,-0.70474,-0.411921,155.83,1.17001,2.04726,-1.11863,-0.0128315
169.883,-2.77486,-0.53128,113.895,1.48885,-2.19262,49.562,0.0853263,3.04367,-1.66134,-0.0128315
167.332,1.33583,-0.287586,39.2526,-1.90524,-2.43108,100.212,-1.54917,2.5673,2.14349,0.0128315
69.9838,2.67091,-2.28096,43.9384,-3.471,-0.52217,40.0997,-1.53538,1.41833,-1.75879,0.0128315
95.0179,-2.8362,1.5121,70.7402,2.41451,-2.55041,71.0233,0.708139,-1.23637,2.22068,0.0128315
113.644,0.234777,2.2991,81.2125,-3.04278,0.462048,41.1813,-1.90905,-1.90409,1.83705,-0.0128315
166.132,1.93458,-2.7085,142.213,-3.21507,-1.6409,242.313,0.816558,1.14,-1.0676,-0.0128315
111.045,-3.49043,2.65005,41.2663,0.62112,0.464245,74.5914,-0.094582,-1.39569,-2.18581,-0.0128315
153.587,-1.7059,0.803165,59.8865,1.89792,2.94253,62.3073,-0.105288,-1.97909,2.13937,0.0128315
123.025,1.72695,0.915719,55.3897,-1.37482,-0.203127,130.909,-0.34888,-2.58223,1.11885,0.0128315
171.27,1.06945,0.138363,35.6113,-3.91118,-1.64874,147.197,-0.602472,2.96164,1.78711,0.0128315
145.96,-2.17089,2.13054,102.627,0.927184,0.425357,133.371,-0.204544,-1.65129,-1.70518,-0.0128315
89.7677,3.15929,-1.69143,40.9837,-1.53232,3.13762,70.8797,-1.14272,1.49624,1.45413,0.0128315
108.753,-1.83286,-1.78042,50.7715,2.88149,3.08787,92.6762,-0.641901,0.762133,-1.4149,-0.0128315
346.683,0.996033,2.89233,56.1098,-2.48011,0.977454,152.049,-0.966831,-0.315427,1.91487,0.0128315
121.741,-0.915975,-2.2066,109.859,2.17114,-1.47825,204.878,1.48902,1.4712,0.728344,0.0128315
133.113,-1.33868,-2.38928,69.8688,3.07237,1.26801,35.664,0.620724,0.434126,-2.6259,-0.0128315
88.2554,-1.25939,1.27503,71.7167,2.59938,2.28545,109.438,1.4268,-1.25437,1.01042,0.0128315
100.34,0.774692,1.71224,87.374,-3.02685,0.710717,110.595,-1.28632,-1.74568,1.00152,0.0128315
129.591,-0.777178,-1.97645,61.8328,2.98375,-0.837867,86.71,1.3398,1.63344,1.13858,0.0128315
122.22,-2.54425,1.7488,69.692,3.82842,2.20014,71.0958,1.29383,-1.02002,0.451332,0.0128315
133.978,-2.48613,3.13485,38.2754,2.19346,-2.35894,124.887,1.16099,0.114532,0.789393,-0.0128315
87.4657,1.54615,0.160237,76.3268,-2.39171,2.5484,48.572,-1.21679,-1.81795,-2.38816,-0.0128315
107.984,3.00515,1.48102,106.7,-2.66916,-0.529374,130.338,-2.04484,-2.44609,2.0104,0.0128315
72.2395,2.15732,-0.884301,68.2473,-2.43747,-2.43115,54.3139,0.546636,1.4084,1.54685,0.0128315
177.678,-2.7476,-2.87377,140.355,2.75163,-1.19332,157.535,0.916189,1.32917,1.68045,0.0128315
149.548,-0.840528,-0.582028,64.3261,2.86264,0.0410577,120.442,0.925091,2.65166,0.623086,0.0128315
270.522,-2.01517,-2.32477,130.915,3.5675,0.122023,112.853,-1.70724,1.14528,2.4468,0.0128315
169.683,2.41512,2.40063,44.6185,-2.10757,1.63367,137.67,0.376476,-0.999878,0.766961,0.0128315
227.81,-1.42828,-2.36717,90.4888,3.10638,2.5201,113.663,1.37642,0.597926,-1.39592,-0.0128315
133.932,-2.01348,-2.9462,91.222,1.12409,2.58712,95.523,0.493678,-0.129421,-0.749861,-0.0128315
291.865,-1.96566,-2.45141,55.6528,3.05635,-2.83095,128.211,0.509547,0.558163,-0.379534,-0.0128315
100.812,3.06759,0.565984,69.6121,-2.18646,-1.39866,73.8272,-0.8004,2.75533,1.96465,0.0128315
237.134,1.2107,0.0409183,105.279,-3.89911,-2.28915,72.7843,-1.21803,2.17339,2.33007,0.0128315
85.614,1.7212,2.90843,57.3264,-3.29135,3.05058,119.515,1.08272,-0.245325,-0.142146,0.0128315
109.778,-0.280153,-2.26367,40.3091,4.18099,-0.896878,65.6607,1.0351,1.47505,1.3668,0.0128315
209.594,2.58013,-1.45396,100.776,-1.80233,3.0234,129.188,-0.300343,1.07372,1.80582,0.0128315
95.1335,0.246989,2.70205,71.7638,-2.91792,-2.43231,93.3142,-1.86558,0.445163,-1.14883,-0.0128315
206.548,2.66017,1.65206,93.6753,-1.13721,-0.427698,39.1169,2.51586,-2.3969,2.07976,0.0128315
163.411,1.8499,1.1216,30.7067,-2.09425,-1.3197,110.22,-1.82429,-2.30271,2.44131,0.0128315
131.306,2.93708,-0.77608,80.3964,-1.38345,1.30326,106.429,1.06732,3.00733,-2.07934,-0.0128315
117.939,2.23422,0.809417,77.951,-3.81624,-1.86919,52.6405,-0.138496,3.12988,2.6786,0.0128315
472.804,1.65092,2.68005,58.7826,-4.02358,0.824595,326.639,1.13161,-0.648246,1.85545,0.0128315
153.378,-2.24179,-0.725825,57.4033,2.18803,-2.33127,115.125,-1.30801,1.86254,-1.60545,-0.0128315
100.869,-3.06801,-0.813429,51.5097,3.62724,0.61995,106.135,0.0803245,2.72658,1.43338,0.0128315
162.328,-2.68237,1.15307,69.3671,1.3886,-0.0475876,101.307,0.43062,-2.62746,-1.20066,-0.0128315
102.374,4.01181,-0.745761,44.5134,-3.3325,1.60895,66.6269,0.164587,2.84233,-2.35471,-0.0128315
66.3669,0.171392,2.43123,49.8085,-4.11494,3.12476,80.7721,-1.15828,-0.0906134,-0.693521,-0.0128315
220.247,-1.54956,-2.08216,148.171,2.65972,-1.45734,125.445,-0.035951,1.31573,0.624829,0.0128315
140.845,-3.16923,0.963999,74.8849,2.0115,-0.307828,126.852,0.363336,-2.46806,-1.27183,-0.0128315
193.945,-2.61621,-0.730901,106.665,2.93089,1.36985,82.9493,-1.25417,2.99067,2.10076,0.0128315
90.6425,2.24138,0.989822,51.0062,-4.24847,1.48881,79.3092,-1.75115,-2.16162,-0.498991,-0.0128315
