jet0Pt,jet0Eta,jet0Phi,jet1Pt,jet1Eta,jet1Phi,DiTauPt,DiTauEta,DiTauPhi,SignedDeltaPhi,Weight
225.84,1.84325,2.91359,209.683,-1.83249,-1.93163,204.549,0.0635917,0.452851,-1.43797,0.0339627
247.779,-2.497,2.33062,83.9525,2.05549,-1.80548,137.025,-1.88054,-0.500056,2.14708,0.0384648
83.0818,2.95176,-0.174863,64.0986,-1.49038,1.17177,85.4374,2.07396,-2.47436,-1.34664,0.0325673
234.487,2.32134,0.868267,87.6692,-4.09103,-2.37632,56.2693,1.03047,-1.93807,-3.0386,0.0364653
50.3404,-4.1884,-0.573821,47.5905,4.15376,-0.223962,84.6907,-1.119,2.75779,0.349859,0.0343363
43.4337,-3.65136,0.817592,30.0865,1.56485,-0.382728,38.113,-1.33576,2.33423,-1.20032,0.0310418
230.391,2.01737,-1.70466,34.8887,-4.36359,2.75655,91.5519,-0.668203,1.01106,1.82198,0.0355435
99.0816,2.32193,0.239874,94.2564,-3.45706,1.81167,138.685,-0.425763,-2.24475,-1.57179,0.0345161
202.994,1.18336,1.28694,43.9529,-2.26896,1.23734,144.271,0.351831,-1.87327,0.0496023,0.0320084
265.746,2.69004,1.80286,190.37,-1.82499,-0.649247,101.769,0.0963824,-1.27511,2.4521,0.035369
98.7327,2.5018,3.02624,88.3209,-1.56622,-2.67177,145.957,0.997573,0.201316,-0.58517,0.0321021
130.82,-2.84931,-0.270922,30.2322,1.74182,2.65199,76.4549,-1.8401,-2.75911,2.92291,0.0322661
210.804,3.06851,1.90759,103.156,-1.60789,-1.32866,68.2521,1.38898,-1.19745,-3.04694,0.0346848
126.703,-2.48773,0.646337,52.1079,2.16023,2.9661,53.0081,-0.762111,-1.85627,2.31976,0.0323073
116.345,-2.00453,-0.922301,76.7915,2.01621,-1.1152,31.9982,1.67425,1.20502,-0.192902,0.0333199
159.654,2.76873,-0.882173,66.4799,-2.08825,0.709812,84.3629,-0.312641,2.6742,-1.59198,0.0333308
193.677,2.84527,0.806147,67.5738,-0.547652,-1.48306,107.963,0.608097,-2.72028,2.28921,0.0304835
67.2866,-4.09376,0.148735,64.6169,2.08586,0.643754,94.8928,-0.835415,2.83726,0.495019,0.0328601
103.187,-0.242247,2.46089,81.4303,4.2983,0.830576,83.8763,1.26804,-1.17157,-1.63031,0.0347738
82.8846,-1.81007,-0.516835,42.4834,3.8202,-2.2353,73.5296,1.725,2.1855,-1.71847,0.0319713
128.9,-1.63214,-1.95467,68.2691,2.92834,-1.91023,135.763,0.941599,0.98398,0.0444394,0.0328272
170.722,1.82209,2.20172,30.366,-3.68355,2.79633,120.285,-0.388164,-0.727365,-0.594608,0.0351194
95.0632,-3.15475,-1.76098,73.9477,2.9619,-0.829047,106.8,0.0240863,2.15174,0.931933,0.0311217
86.6615,-2.25194,-0.452304,66.3893,3.0842,-0.0667193,115.991,-0.383476,2.71067,0.385585,0.0332472
98.2206,2.17053,-0.922295,84.3137,-1.0028,3.0516,97.5102,0.817892,2.11705,2.30929,0.0303868
67.5084,-3.14179,2.9419,55.9576,1.36621,2.4883,69.8798,-0.155353,-0.46792,-0.453602,0.0303421
162.98,1.55147,1.4503,61.0743,-3.12195,0.405143,135.808,-0.212815,-1.47882,1.04516,0.0330158
111.197,2.10653,1.60265,63.2024,-4.11117,0.208882,86.0759,1.03836,-2.12237,1.39377,0.0357028
67.8813,2.59136,-1.08585,62.4332,-3.36864,-1.3034,71.1328,0.81401,1.66876,0.217549,0.0335616
115.578,-3.14841,0.180048,92.0999,1.53287,1.85042,115.296,-1.54676,-2.49364,1.67037,0.0368463
74.8617,2.54238,1.94925,42.2774,-1.19966,-2.57972,64.0708,0.192827,-0.438693,-1.75421,0.0291407
