jet0Pt,jet0Eta,jet0Phi,jet1Pt,jet1Eta,jet1Phi,DiTauPt,DiTauEta,DiTauPhi,SignedDeltaPhi,Weight
68.1744,-2.47731,1.26731,36.741,2.66893,0.295729,50.1872,-1.97896,-1.60994,-0.971576,11.6109
131.997,3.09023,0.45034,122.988,-2.73327,2.71212,136.419,1.05391,-1.90499,-2.26178,8.44785
309.1,0.962123,0.0820281,38.2689,-2.25428,-0.625732,112.176,0.840554,2.94305,0.70776,9.50675
62.1133,1.27639,-0.339845,53.2517,-3.20661,0.967656,43.5697,-1.44767,2.83389,-1.3075,12.3585
71.7072,-1.39651,0.838789,36.8455,2.90743,0.0694308,76.5273,-0.655048,-2.6552,-0.769358,10.3869
106.019,-0.656053,1.17631,49.6646,2.83788,2.15775,134.752,-0.0817425,-1.77886,0.981441,11.2276
84.7523,-1.38873,0.206768,64.8963,2.99844,1.28175,63.0326,-0.989199,3.13224,1.07498,10.421
79.9276,-0.985317,-1.02091,73.2773,3.72947,3.07213,50.6344,2.29445,1.47963,-2.19015,9.42476
157.104,2.19346,-0.068991,53.4873,-3.26507,-2.3089,75.7959,1.34519,2.6584,2.2399,9.07693
145.817,3.08791,-1.86892,65.308,-0.192408,-0.907852,61.731,1.04922,1.48209,-0.961064,9.90824
104.335,2.02159,-1.34198,43.8627,-3.07455,-1.79567,102.171,1.08885,1.96331,0.453693,8.27789
73.7859,2.47455,2.79101,67.6504,-2.92302,1.87398,151.925,-0.443373,-0.851366,0.917028,9.65654
99.4675,-0.614916,-2.41031,35.4501,3.03947,-2.223,117.814,1.44027,0.828931,0.187306,9.19849
59.5304,2.08282,2.38136,34.2233,-3.86287,0.982085,74.5631,-1.28354,-1.58618,1.39928,10.894
102.738,-2.9727,0.607582,40.402,2.48465,2.27418,50.8374,0.0618756,-2.10534,1.66659,10.8186
74.869,-0.708049,2.42669,66.52,2.73744,2.6841,66.2643,1.04438,-0.0904348,0.257409,14.7875
145.848,-1.24827,2.13632,120.288,2.71664,-2.93547,101.741,2.4543,0.00977125,1.21139,9.27624
82.1577,2.30954,-0.0953638,35.1231,-2.31255,0.19771,39.5944,-1.44476,3.00518,-0.293074,10.5061
177.558,-1.95424,-0.510459,46.7583,2.29361,-1.31492,127.703,0.644,2.43398,-0.804464,9.14534
74.381,-2.13051,1.16466,61.7838,2.36267,0.0305506,59.1758,0.064007,-2.46064,-1.13411,9.69469
85.4594,-2.99379,-2.80414,75.983,0.234813,-1.15867,66.6481,-2.06298,1.2771,1.64547,9.87767
